[04:16:50.601] Solucion #1: A1; B3; C6; D8; E10; F5; G9; H2; I4; J7; 
[04:16:50.901] Solucion #71: A2; B5; C7; D4; E10; F3; G9; H6; I8; J1; 
[04:16:50.901] Solucion #72: A2; B5; C7; D9; E4; F8; G1; H3; I6; J10; 
[04:16:50.901] Solucion #73: A2; B5; C8; D1; E7; F10; G3; H6; I4; J9; 
[04:16:50.901] Solucion #74: A2; B5; C8; D4; E7; F10; G3; H1; I6; J9; 
[04:16:50.901] Solucion #75: A2; B5; C8; D6; E3; F10; G7; H1; I4; J9; 
[04:16:50.901] Solucion #76: A2; B5; C8; D6; E9; F3; G1; H4; I7; J10; 
[04:16:50.901] Solucion #77: A2; B5; C8; D6; E9; F3; G1; H7; I4; J10; 
[04:16:50.901] Solucion #78: A2; B5; C8; D10; E3; F6; G9; H1; I4; J7; 
[04:16:50.901] Solucion #79: A2; B5; C9; D1; E10; F4; G7; H3; I8; J6; 
[04:16:50.911] Solucion #80: A2; B5; C9; D4; E10; F8; G6; H3; I1; J7; 
[04:16:50.911] Solucion #81: A2; B5; C10; D8; E1; F4; G7; H3; I6; J9; 
[04:16:50.921] Solucion #82: A2; B6; C3; D7; E10; F1; G9; H5; I8; J4; 
[04:16:50.921] Solucion #83: A2; B6; C3; D7; E10; F8; G5; H1; I4; J9; 
[04:16:50.921] Solucion #84: A2; B6; C3; D10; E8; F5; G9; H4; I1; J7; 
[04:16:50.921] Solucion #85: A2; B6; C8; D3; E1; F9; G5; H10; I4; J7; 
[04:16:50.921] Solucion #86: A2; B6; C8; D3; E7; F4; G10; H1; I9; J5; 
[04:16:50.921] Solucion #87: A2; B6; C9; D1; E8; F5; G3; H10; I7; J4; 
[04:16:50.931] Solucion #88: A2; B6; C9; D7; E10; F1; G3; H5; I8; J4; 
[04:16:50.931] Solucion #89: A2; B6; C10; D3; E7; F9; G4; H1; I5; J8; 
[04:16:50.941] Solucion #90: A2; B7; C5; D3; E9; F4; G10; H8; I6; J1; 
[04:16:50.941] Solucion #91: A2; B7; C5; D8; E1; F4; G10; H3; I6; J9; 
[04:16:50.941] Solucion #92: A2; B7; C9; D3; E8; F10; G4; H6; I1; J5; 
[04:16:50.951] Solucion #93: A2; B7; C10; D4; E1; F8; G5; H3; I6; J9; 
[04:16:50.951] Solucion #94: A2; B7; C10; D6; E1; F9; G5; H3; I8; J4; 
[04:16:50.951] Solucion #95: A2; B7; C10; D6; E3; F1; G4; H8; I5; J9; 
[04:16:50.951] Solucion #96: A2; B8; C3; D9; E7; F5; G10; H1; I6; J4; 
[04:16:50.961] Solucion #97: A2; B8; C5; D9; E1; F6; G10; H3; I7; J4; 
[04:16:50.971] Solucion #98: A2; B8; C6; D9; E3; F1; G4; H7; I5; J10; 
[04:16:50.971] Solucion #99: A2; B8; C10; D3; E9; F6; G4; H1; I7; J5; 
[04:16:50.971] Solucion #100: A2; B8; C10; D4; E1; F5; G9; H6; I3; J7; 
[04:16:50.981] Solucion #101: A2; B9; C1; D8; E5; F3; G10; H7; I4; J6; 
[04:16:50.991] Solucion #102: A2; B9; C3; D8; E10; F4; G6; H1; I5; J7; 
[04:16:50.991] Solucion #103: A2; B9; C3; D10; E7; F4; G1; H5; I8; J6; 
[04:16:50.991] Solucion #104: A2; B9; C5; D10; E1; F4; G6; H8; I3; J7; 
[04:16:51.001] Solucion #105: A2; B9; C6; D1; E3; F10; G7; H4; I8; J5; 
[04:16:51.001] Solucion #106: A2; B9; C6; D3; E10; F4; G1; H8; I5; J7; 
[04:16:51.001] Solucion #107: A2; B9; C6; D8; E10; F1; G3; H5; I7; J4; 
[04:16:51.001] Solucion #108: A2; B9; C7; D3; E10; F8; G5; H1; I4; J6; 
[04:16:51.011] Solucion #109: A2; B9; C7; D10; E4; F1; G5; H8; I6; J3; 
[04:16:51.011] Solucion #110: A2; B10; C3; D7; E9; F4; G1; H5; I8; J6; 
[04:16:51.031] Solucion #111: A2; B10; C7; D4; E1; F3; G9; H6; I8; J5; 
[04:16:51.031] Solucion #112: A2; B10; C8; D3; E5; F9; G1; H6; I4; J7; 
[04:16:51.051] Solucion #113: A3; B1; C6; D9; E5; F10; G8; H4; I2; J7; 
[04:16:51.081] Solucion #114: A3; B5; C2; D8; E10; F7; G4; H1; I9; J6; 
[04:16:51.081] Solucion #115: A3; B5; C2; D9; E6; F10; G7; H4; I1; J8; 
[04:16:51.091] Solucion #116: A3; B5; C7; D10; E4; F6; G1; H9; I2; J8; 
[04:16:51.091] Solucion #117: A3; B5; C8; D1; E9; F4; G2; H7; I10; J6; 
[04:16:51.091] Solucion #118: A3; B5; C8; D2; E9; F7; G1; H4; I6; J10; 
[04:16:51.091] Solucion #119: A3; B5; C9; D1; E6; F10; G7; H2; I4; J8; 
[04:16:51.101] Solucion #120: A3; B5; C9; D2; E10; F7; G4; H1; I8; J6; 
[04:16:51.101] Solucion #121: A3; B5; C9; D4; E1; F10; G8; H6; I2; J7; 
[04:16:51.101] Solucion #122: A3; B5; C9; D4; E6; F10; G2; H7; I1; J8; 
[04:16:51.101] Solucion #123: A3; B5; C9; D4; E10; F7; G2; H6; I8; J1; 
[04:16:51.101] Solucion #124: A3; B5; C10; D8; E4; F2; G7; H9; I6; J1; 
[04:16:51.111] Solucion #125: A3; B6; C2; D10; E1; F9; G5; H8; I4; J7; 
[04:16:51.111] Solucion #126: A3; B6; C4; D10; E1; F9; G5; H8; I2; J7; 
[04:16:51.111] Solucion #127: A3; B6; C8; D1; E4; F7; G10; H2; I9; J5; 
[04:16:51.121] Solucion #128: A3; B6; C8; D5; E1; F4; G10; H7; I9; J2; 
[04:16:51.121] Solucion #129: A3; B6; C8; D10; E1; F9; G5; H2; I4; J7; 
[04:16:51.121] Solucion #130: A3; B6; C8; D10; E4; F1; G5; H2; I9; J7; 
[04:16:51.121] Solucion #131: A3; B6; C9; D1; E4; F7; G10; H2; I5; J8; 
[04:16:51.121] Solucion #132: A3; B6; C9; D1; E4; F7; G10; H8; I2; J5; 
[04:16:51.121] Solucion #133: A3; B6; C9; D1; E8; F4; G2; H7; I5; J10; 
[04:16:51.121] Solucion #134: A3; B6; C9; D1; E10; F5; G7; H2; I4; J8; 
[04:16:51.121] Solucion #135: A3; B6; C9; D2; E4; F7; G10; H8; I1; J5; 
[04:16:51.121] Solucion #136: A3; B6; C9; D2; E4; F7; G10; H8; I5; J1; 
[04:16:51.121] Solucion #137: A3; B6; C9; D2; E8; F1; G4; H7; I5; J10; 
[04:16:51.131] Solucion #138: A3; B6; C9; D5; E8; F1; G4; H2; I7; J10; 
[04:16:51.131] Solucion #139: A3; B6; C9; D7; E1; F4; G2; H5; I8; J10; 
[04:16:51.131] Solucion #140: A3; B6; C9; D7; E2; F4; G8; H1; I5; J10; 
[04:16:51.131] Solucion #141: A3; B6; C9; D7; E4; F1; G8; H2; I5; J10; 
[04:16:51.131] Solucion #142: A3; B6; C10; D5; E2; F9; G7; H4; I1; J8; 
[04:16:51.131] Solucion #143: A3; B6; C10; D5; E2; F9; G7; H4; I8; J1; 
[04:16:51.131] Solucion #144: A3; B6; C10; D7; E2; F4; G8; H1; I5; J9; 
[04:16:51.131] Solucion #145: A3; B7; C2; D4; E8; F10; G5; H9; I6; J1; 
[04:16:51.141] Solucion #146: A3; B7; C2; D8; E6; F1; G10; H5; I9; J4; 
[04:16:51.141] Solucion #147: A3; B7; C2; D10; E8; F6; G4; H9; I1; J5; 
[04:16:51.151] Solucion #148: A3; B7; C9; D4; E1; F5; G10; H2; I6; J8; 
[04:16:51.151] Solucion #149: A3; B7; C9; D4; E6; F1; G10; H2; I5; J8; 
[04:16:51.151] Solucion #150: A3; B7; C10; D4; E9; F1; G5; H2; I8; J6; 
[04:16:51.161] Solucion #151: A3; B8; C2; D7; E1; F10; G5; H9; I6; J4; 
[04:16:51.161] Solucion #152: A3; B8; C4; D7; E9; F2; G5; H1; I6; J10; 
[04:16:51.161] Solucion #153: A3; B8; C6; D1; E9; F2; G5; H7; I4; J10; 
[04:16:51.161] Solucion #154: A3; B8; C6; D1; E10; F5; G7; H9; I4; J2; 
[04:16:51.161] Solucion #155: A3; B8; C6; D2; E9; F5; G1; H4; I10; J7; 
[04:16:51.161] Solucion #156: A3; B8; C6; D2; E10; F5; G1; H4; I9; J7; 
[04:16:51.161] Solucion #157: A3; B8; C6; D9; E1; F10; G5; H7; I2; J4; 
[04:16:51.171] Solucion #158: A3; B8; C6; D9; E2; F5; G1; H4; I7; J10; 
[04:16:51.171] Solucion #159: A3; B8; C10; D1; E6; F2; G5; H7; I9; J4; 
[04:16:51.171] Solucion #160: A3; B8; C10; D4; E9; F1; G5; H7; I2; J6; 
[04:16:51.181] Solucion #161: A3; B9; C2; D8; E5; F7; G10; H1; I6; J4; 
[04:16:51.181] Solucion #162: A3; B9; C2; D10; E5; F7; G1; H4; I6; J8; 
[04:16:51.191] Solucion #163: A3; B9; C6; D8; E2; F4; G1; H7; I5; J10; 
[04:16:51.191] Solucion #164: A3; B9; C6; D10; E2; F7; G1; H4; I8; J5; 
[04:16:51.201] Solucion #165: A3; B10; C2; D9; E6; F4; G1; H8; I5; J7; 
[04:16:51.211] Solucion #166: A3; B10; C4; D7; E9; F2; G6; H8; I1; J5; 
[04:16:51.211] Solucion #167: A3; B10; C4; D9; E1; F5; G7; H2; I6; J8; 
[04:16:51.211] Solucion #168: A3; B10; C6; D2; E9; F5; G1; H8; I4; J7; 
[04:16:51.211] Solucion #169: A3; B10; C6; D2; E9; F7; G4; H8; I1; J5; 
[04:16:51.211] Solucion #170: A3; B10; C7; D2; E4; F1; G8; H5; I9; J6; 
[04:16:51.211] Solucion #171: A3; B10; C7; D4; E1; F5; G2; H9; I6; J8; 
[04:16:51.211] Solucion #172: A3; B10; C7; D4; E2; F9; G6; H1; I5; J8; 
[04:16:51.221] Solucion #173: A3; B10; C7; D5; E1; F9; G6; H8; I2; J4; 
[04:16:51.221] Solucion #174: A3; B10; C7; D9; E1; F5; G2; H8; I6; J4; 
[04:16:51.221] Solucion #175: A3; B10; C8; D1; E5; F2; G6; H9; I7; J4; 
[04:16:51.221] Solucion #176: A3; B10; C8; D2; E4; F9; G7; H5; I1; J6; 
[04:16:51.221] Solucion #177: A3; B10; C8; D5; E2; F4; G1; H7; I9; J6; 
[04:16:51.231] Solucion #178: A4; B1; C5; D8; E10; F3; G7; H9; I2; J6; 
[04:16:51.231] Solucion #179: A4; B1; C7; D9; E2; F8; G5; H3; I10; J6; 
[04:16:51.241] Solucion #180: A4; B1; C7; D10; E6; F2; G9; H5; I3; J8; 
[04:16:51.241] Solucion #181: A4; B1; C8; D6; E2; F10; G7; H9; I3; J5; 
[04:16:51.241] Solucion #182: A4; B1; C8; D10; E2; F6; G3; H9; I7; J5; 
[04:16:51.251] Solucion #183: A4; B2; C5; D8; E10; F3; G6; H9; I7; J1; 
[04:16:51.251] Solucion #184: A4; B2; C5; D9; E1; F10; G8; H6; I3; J7; 
[04:16:51.251] Solucion #185: A4; B2; C7; D5; E10; F1; G9; H6; I8; J3; 
[04:16:51.251] Solucion #186: A4; B2; C7; D9; E6; F3; G1; H10; I8; J5; 
[04:16:51.251] Solucion #187: A4; B2; C7; D10; E6; F1; G9; H5; I3; J8; 
[04:16:51.261] Solucion #188: A4; B2; C8; D3; E9; F7; G5; H10; I1; J6; 
[04:16:51.261] Solucion #189: A4; B2; C8; D5; E9; F1; G6; H10; I3; J7; 
[04:16:51.261] Solucion #190: A4; B2; C8; D6; E9; F1; G5; H7; I10; J3; 
[04:16:51.261] Solucion #191: A4; B2; C8; D10; E1; F3; G6; H9; I7; J5; 
[04:16:51.261] Solucion #192: A4; B2; C8; D10; E7; F3; G6; H9; I1; J5; 
[04:16:51.261] Solucion #193: A4; B2; C9; D5; E10; F8; G6; H3; I1; J7; 
[04:16:51.261] Solucion #194: A4; B2; C9; D6; E3; F10; G8; H1; I5; J7; 
[04:16:51.261] Solucion #195: A4; B2; C9; D6; E10; F7; G1; H3; I5; J8; 
[04:16:51.271] Solucion #196: A4; B2; C10; D6; E9; F5; G8; H1; I3; J7; 
[04:16:51.271] Solucion #197: A4; B6; C1; D9; E7; F3; G8; H2; I5; J10; 
[04:16:51.271] Solucion #198: A4; B6; C1; D10; E5; F7; G9; H3; I8; J2; 
[04:16:51.281] Solucion #199: A4; B6; C1; D10; E7; F5; G8; H2; I9; J3; 
[04:16:51.281] Solucion #200: A4; B6; C3; D9; E2; F8; G5; H7; I10; J1; 
[04:16:51.281] Solucion #201: A4; B6; C3; D10; E2; F7; G9; H1; I8; J5; 
[04:16:51.281] Solucion #202: A4; B6; C3; D10; E7; F1; G8; H5; I2; J9; 
[04:16:51.281] Solucion #203: A4; B6; C3; D10; E7; F5; G2; H9; I1; J8; 
[04:16:51.281] Solucion #204: A4; B6; C8; D2; E5; F1; G9; H7; I10; J3; 
[04:16:51.281] Solucion #205: A4; B6; C8; D10; E2; F7; G3; H1; I9; J5; 
[04:16:51.281] Solucion #206: A4; B6; C8; D10; E2; F7; G9; H1; I3; J5; 
[04:16:51.281] Solucion #207: A4; B6; C9; D3; E1; F8; G2; H5; I7; J10; 
[04:16:51.281] Solucion #208: A4; B6; C9; D3; E10; F7; G2; H8; I5; J1; 
[04:16:51.281] Solucion #209: A4; B6; C9; D3; E10; F8; G2; H5; I7; J1; 
[04:16:51.281] Solucion #210: A4; B6; C9; D5; E10; F1; G3; H8; I2; J7; 
[04:16:51.291] Solucion #211: A4; B6; C9; D5; E10; F1; G7; H2; I8; J3; 
[04:16:51.291] Solucion #212: A4; B6; C10; D3; E1; F8; G5; H2; I9; J7; 
[04:16:51.291] Solucion #213: A4; B6; C10; D3; E5; F8; G2; H9; I7; J1; 
[04:16:51.291] Solucion #214: A4; B6; C10; D5; E2; F8; G3; H7; I9; J1; 
[04:16:51.291] Solucion #215: A4; B6; C10; D5; E7; F1; G3; H8; I2; J9; 
[04:16:51.291] Solucion #216: A4; B7; C1; D6; E2; F10; G8; H3; I5; J9; 
[04:16:51.291] Solucion #217: A4; B7; C1; D6; E9; F2; G8; H5; I3; J10; 
[04:16:51.291] Solucion #218: A4; B7; C3; D6; E2; F10; G1; H9; I5; J8; 
[04:16:51.291] Solucion #219: A4; B7; C3; D10; E6; F1; G9; H5; I8; J2; 
[04:16:51.291] Solucion #220: A4; B7; C3; D10; E6; F2; G9; H5; I1; J8; 
[04:16:51.301] Solucion #221: A4; B7; C5; D3; E1; F10; G8; H6; I9; J2; 
[04:16:51.301] Solucion #222: A4; B7; C5; D10; E2; F6; G8; H3; I1; J9; 
[04:16:51.301] Solucion #223: A4; B7; C9; D2; E5; F8; G1; H3; I10; J6; 
[04:16:51.301] Solucion #224: A4; B7; C9; D2; E6; F1; G3; H5; I8; J10; 
[04:16:51.301] Solucion #225: A4; B7; C9; D6; E2; F5; G1; H8; I10; J3; 
[04:16:51.301] Solucion #226: A4; B7; C9; D6; E2; F10; G1; H3; I5; J8; 
[04:16:51.301] Solucion #227: A4; B7; C9; D6; E3; F1; G8; H5; I2; J10; 
[04:16:51.301] Solucion #228: A4; B7; C10; D2; E5; F8; G1; H3; I6; J9; 
[04:16:51.301] Solucion #229: A4; B7; C10; D3; E5; F8; G1; H9; I2; J6; 
[04:16:51.301] Solucion #230: A4; B7; C10; D3; E5; F8; G1; H9; I6; J2; 
[04:16:51.301] Solucion #231: A4; B7; C10; D3; E9; F2; G5; H8; I6; J1; 
[04:16:51.311] Solucion #232: A4; B8; C1; D5; E9; F2; G6; H10; I3; J7; 
[04:16:51.311] Solucion #233: A4; B8; C1; D5; E10; F2; G6; H3; I9; J7; 
[04:16:51.311] Solucion #234: A4; B8; C1; D9; E2; F5; G7; H10; I3; J6; 
[04:16:51.311] Solucion #235: A4; B8; C1; D9; E6; F2; G7; H10; I3; J5; 
[04:16:51.311] Solucion #236: A4; B8; C3; D5; E7; F10; G1; H6; I2; J9; 
[04:16:51.311] Solucion #237: A4; B8; C3; D5; E9; F1; G6; H10; I2; J7; 
[04:16:51.311] Solucion #238: A4; B8; C3; D5; E9; F1; G6; H10; I7; J2; 
[04:16:51.311] Solucion #239: A4; B8; C3; D5; E9; F2; G6; H10; I7; J1; 
[04:16:51.311] Solucion #240: A4; B8; C3; D5; E10; F1; G9; H6; I2; J7; 
[04:16:51.321] Solucion #241: A4; B8; C3; D9; E6; F10; G1; H7; I5; J2; 
[04:16:51.321] Solucion #242: A4; B8; C3; D9; E7; F10; G1; H6; I2; J5; 
[04:16:51.321] Solucion #243: A4; B8; C5; D2; E6; F10; G7; H1; I3; J9; 
[04:16:51.321] Solucion #244: A4; B8; C5; D2; E10; F1; G7; H9; I3; J6; 
[04:16:51.321] Solucion #245: A4; B8; C5; D3; E1; F10; G2; H6; I9; J7; 
[04:16:51.321] Solucion #246: A4; B8; C5; D3; E1; F10; G7; H9; I6; J2; 
[04:16:51.321] Solucion #247: A4; B8; C5; D3; E10; F6; G2; H9; I7; J1; 
[04:16:51.321] Solucion #248: A4; B8; C5; D3; E10; F7; G2; H6; I9; J1; 
[04:16:51.321] Solucion #249: A4; B8; C5; D9; E1; F10; G2; H6; I3; J7; 
[04:16:51.321] Solucion #250: A4; B8; C5; D9; E1; F10; G7; H3; I6; J2; 
[04:16:51.321] Solucion #251: A4; B8; C10; D3; E6; F2; G5; H1; I9; J7; 
[04:16:51.321] Solucion #252: A4; B8; C10; D5; E2; F6; G1; H3; I7; J9; 
[04:16:51.331] Solucion #253: A4; B9; C1; D5; E10; F2; G6; H8; I3; J7; 
[04:16:51.331] Solucion #254: A4; B9; C3; D6; E2; F10; G1; H7; I5; J8; 
[04:16:51.331] Solucion #255: A4; B9; C3; D8; E10; F1; G6; H2; I5; J7; 
[04:16:51.331] Solucion #256: A4; B9; C3; D10; E2; F7; G5; H1; I8; J6; 
[04:16:51.331] Solucion #257: A4; B9; C5; D2; E10; F1; G6; H8; I3; J7; 
[04:16:51.331] Solucion #258: A4; B9; C5; D3; E1; F10; G7; H2; I6; J8; 
[04:16:51.331] Solucion #259: A4; B9; C5; D8; E1; F3; G6; H2; I7; J10; 
[04:16:51.341] Solucion #260: A4; B9; C5; D10; E1; F6; G8; H2; I7; J3; 
[04:16:51.341] Solucion #261: A4; B9; C7; D3; E1; F6; G2; H5; I10; J8; 
[04:16:51.341] Solucion #262: A4; B9; C7; D5; E2; F6; G1; H10; I8; J3; 
[04:16:51.341] Solucion #263: A4; B10; C1; D9; E6; F3; G7; H2; I8; J5; 
[04:16:51.351] Solucion #264: A4; B10; C3; D6; E9; F2; G8; H5; I7; J1; 
[04:16:51.351] Solucion #265: A4; B10; C5; D2; E9; F7; G3; H8; I6; J1; 
[04:16:51.351] Solucion #266: A4; B10; C5; D3; E9; F7; G2; H8; I6; J1; 
[04:16:51.351] Solucion #267: A4; B10; C7; D2; E6; F3; G1; H8; I5; J9; 
[04:16:51.351] Solucion #268: A4; B10; C7; D5; E2; F8; G1; H3; I9; J6; 
[04:16:51.361] Solucion #269: A4; B10; C8; D5; E3; F1; G6; H2; I9; J7; 
[04:16:51.361] Solucion #270: A4; B10; C8; D5; E3; F1; G7; H2; I6; J9; 
[04:16:51.361] Solucion #271: A5; B1; C4; D9; E7; F2; G10; H3; I6; J8; 
[04:16:51.361] Solucion #272: A5; B1; C6; D4; E10; F8; G3; H9; I7; J2; 
[04:16:51.371] Solucion #273: A5; B1; C8; D4; E7; F9; G2; H6; I10; J3; 
[04:16:51.371] Solucion #274: A5; B1; C8; D6; E2; F9; G7; H4; I10; J3; 
[04:16:51.371] Solucion #275: A5; B1; C8; D6; E3; F9; G2; H4; I10; J7; 
[04:16:51.371] Solucion #276: A5; B1; C8; D10; E3; F6; G9; H2; I4; J7; 
[04:16:51.371] Solucion #277: A5; B1; C8; D10; E7; F4; G2; H9; I6; J3; 
[04:16:51.371] Solucion #278: A5; B1; C9; D4; E6; F8; G10; H2; I7; J3; 
[04:16:51.371] Solucion #279: A5; B1; C9; D6; E3; F7; G10; H8; I2; J4; 
[04:16:51.381] Solucion #280: A5; B2; C4; D9; E3; F8; G10; H7; I1; J6; 
[04:16:51.381] Solucion #281: A5; B2; C4; D10; E7; F9; G1; H3; I8; J6; 
[04:16:51.381] Solucion #282: A5; B2; C4; D10; E7; F9; G6; H3; I1; J8; 
[04:16:51.381] Solucion #283: A5; B2; C6; D1; E10; F7; G9; H3; I8; J4; 
[04:16:51.381] Solucion #284: A5; B2; C6; D3; E10; F7; G9; H4; I1; J8; 
[04:16:51.381] Solucion #285: A5; B2; C6; D10; E3; F7; G9; H4; I8; J1; 
[04:16:51.381] Solucion #286: A5; B2; C8; D10; E3; F9; G6; H4; I1; J7; 
[04:16:51.381] Solucion #287: A5; B2; C8; D10; E7; F3; G1; H9; I4; J6; 
[04:16:51.381] Solucion #288: A5; B2; C8; D10; E7; F4; G1; H9; I6; J3; 
[04:16:51.391] Solucion #289: A5; B2; C9; D1; E3; F8; G10; H7; I4; J6; 
[04:16:51.391] Solucion #290: A5; B2; C10; D7; E4; F1; G3; H9; I6; J8; 
