[04:20:08.577] Solucion #1: A1; B3; C5; D2; 
[04:20:08.627] Solucion #79: A2; B10; C6; D1; 
[04:20:08.627] Solucion #80: A2; B10; C7; D1; 
[04:20:08.627] Solucion #81: A2; B10; C8; D1; 
[04:20:08.627] Solucion #82: A3; B1; C4; D2; 
[04:20:08.627] Solucion #83: A3; B1; C6; D2; 
[04:20:08.627] Solucion #84: A3; B1; C7; D2; 
[04:20:08.627] Solucion #85: A3; B1; C8; D2; 
[04:20:08.627] Solucion #86: A3; B1; C9; D2; 
[04:20:08.627] Solucion #87: A3; B1; C10; D2; 
[04:20:08.627] Solucion #88: A3; B5; C2; D4; 
[04:20:08.637] Solucion #89: A3; B5; C7; D1; 
[04:20:08.637] Solucion #90: A3; B5; C8; D1; 
[04:20:08.637] Solucion #91: A3; B5; C9; D1; 
[04:20:08.637] Solucion #92: A3; B5; C10; D1; 
[04:20:08.637] Solucion #93: A3; B6; C2; D5; 
[04:20:08.637] Solucion #94: A3; B6; C4; D1; 
[04:20:08.637] Solucion #95: A3; B6; C8; D1; 
[04:20:08.637] Solucion #96: A3; B6; C9; D1; 
[04:20:08.637] Solucion #97: A3; B6; C10; D1; 
[04:20:08.637] Solucion #98: A3; B7; C2; D4; 
[04:20:08.637] Solucion #99: A3; B7; C4; D1; 
[04:20:08.637] Solucion #100: A3; B7; C9; D1; 
[04:20:08.637] Solucion #101: A3; B7; C10; D1; 
[04:20:08.637] Solucion #102: A3; B8; C2; D4; 
[04:20:08.637] Solucion #103: A3; B8; C4; D1; 
[04:20:08.637] Solucion #104: A3; B8; C6; D1; 
[04:20:08.637] Solucion #105: A3; B8; C10; D1; 
[04:20:08.637] Solucion #106: A3; B9; C2; D4; 
[04:20:08.637] Solucion #107: A3; B9; C4; D1; 
[04:20:08.637] Solucion #108: A3; B9; C6; D1; 
[04:20:08.637] Solucion #109: A3; B9; C7; D1; 
[04:20:08.647] Solucion #110: A3; B10; C2; D4; 
[04:20:08.647] Solucion #111: A3; B10; C4; D1; 
[04:20:08.647] Solucion #112: A3; B10; C6; D1; 
[04:20:08.647] Solucion #113: A3; B10; C7; D1; 
[04:20:08.647] Solucion #114: A3; B10; C8; D1; 
[04:20:08.647] Solucion #115: A4; B1; C3; D5; 
[04:20:08.647] Solucion #116: A4; B1; C5; D2; 
[04:20:08.647] Solucion #117: A4; B1; C7; D2; 
[04:20:08.647] Solucion #118: A4; B1; C8; D2; 
[04:20:08.647] Solucion #119: A4; B1; C9; D2; 
[04:20:08.647] Solucion #120: A4; B1; C10; D2; 
[04:20:08.647] Solucion #121: A4; B2; C5; D3; 
[04:20:08.647] Solucion #122: A4; B2; C7; D3; 
[04:20:08.647] Solucion #123: A4; B2; C8; D3; 
[04:20:08.647] Solucion #124: A4; B2; C9; D3; 
[04:20:08.647] Solucion #125: A4; B2; C10; D3; 
[04:20:08.647] Solucion #126: A4; B6; C1; D3; 
[04:20:08.647] Solucion #127: A4; B6; C3; D5; 
[04:20:08.647] Solucion #128: A4; B6; C8; D2; 
[04:20:08.647] Solucion #129: A4; B6; C9; D2; 
[04:20:08.647] Solucion #130: A4; B6; C10; D2; 
[04:20:08.647] Solucion #131: A4; B7; C1; D3; 
[04:20:08.647] Solucion #132: A4; B7; C3; D6; 
[04:20:08.647] Solucion #133: A4; B7; C5; D2; 
[04:20:08.657] Solucion #134: A4; B7; C9; D2; 
[04:20:08.657] Solucion #135: A4; B7; C10; D2; 
[04:20:08.657] Solucion #136: A4; B8; C1; D3; 
[04:20:08.657] Solucion #137: A4; B8; C3; D5; 
[04:20:08.657] Solucion #138: A4; B8; C5; D2; 
[04:20:08.657] Solucion #139: A4; B8; C10; D2; 
[04:20:08.657] Solucion #140: A4; B9; C1; D3; 
[04:20:08.657] Solucion #141: A4; B9; C3; D5; 
[04:20:08.657] Solucion #142: A4; B9; C5; D2; 
[04:20:08.657] Solucion #143: A4; B9; C7; D2; 
[04:20:08.657] Solucion #144: A4; B10; C1; D3; 
[04:20:08.657] Solucion #145: A4; B10; C3; D5; 
[04:20:08.657] Solucion #146: A4; B10; C5; D2; 
[04:20:08.657] Solucion #147: A4; B10; C7; D2; 
[04:20:08.657] Solucion #148: A4; B10; C8; D2; 
[04:20:08.657] Solucion #149: A5; B1; C4; D6; 
[04:20:08.657] Solucion #150: A5; B1; C6; D4; 
[04:20:08.657] Solucion #151: A5; B1; C8; D4; 
[04:20:08.657] Solucion #152: A5; B1; C9; D4; 
[04:20:08.657] Solucion #153: A5; B1; C10; D4; 
[04:20:08.657] Solucion #154: A5; B2; C4; D1; 
[04:20:08.657] Solucion #155: A5; B2; C6; D1; 
[04:20:08.657] Solucion #156: A5; B2; C8; D1; 
[04:20:08.657] Solucion #157: A5; B2; C9; D1; 
[04:20:08.657] Solucion #158: A5; B2; C10; D1; 
[04:20:08.657] Solucion #159: A5; B3; C1; D4; 
[04:20:08.667] Solucion #160: A5; B3; C6; D4; 
[04:20:08.667] Solucion #161: A5; B3; C8; D4; 
[04:20:08.667] Solucion #162: A5; B3; C9; D4; 
[04:20:08.667] Solucion #163: A5; B3; C10; D4; 
[04:20:08.667] Solucion #164: A5; B7; C1; D3; 
[04:20:08.667] Solucion #165: A5; B7; C2; D4; 
[04:20:08.667] Solucion #166: A5; B7; C4; D1; 
[04:20:08.667] Solucion #167: A5; B7; C9; D1; 
[04:20:08.667] Solucion #168: A5; B7; C10; D1; 
[04:20:08.667] Solucion #169: A5; B8; C1; D3; 
[04:20:08.667] Solucion #170: A5; B8; C2; D4; 
[04:20:08.667] Solucion #171: A5; B8; C4; D1; 
[04:20:08.667] Solucion #172: A5; B8; C6; D1; 
[04:20:08.667] Solucion #173: A5; B8; C10; D1; 
[04:20:08.667] Solucion #174: A5; B9; C1; D3; 
[04:20:08.667] Solucion #175: A5; B9; C2; D4; 
[04:20:08.667] Solucion #176: A5; B9; C4; D1; 
[04:20:08.667] Solucion #177: A5; B9; C6; D1; 
[04:20:08.667] Solucion #178: A5; B10; C1; D3; 
[04:20:08.667] Solucion #179: A5; B10; C2; D4; 
[04:20:08.667] Solucion #180: A5; B10; C4; D1; 
[04:20:08.667] Solucion #181: A5; B10; C6; D1; 
[04:20:08.667] Solucion #182: A5; B10; C8; D1; 
[04:20:08.667] Solucion #183: A6; B1; C3; D5; 
[04:20:08.677] Solucion #184: A6; B1; C5; D2; 
[04:20:08.677] Solucion #185: A6; B1; C7; D2; 
[04:20:08.677] Solucion #186: A6; B1; C9; D2; 
[04:20:08.677] Solucion #187: A6; B1; C10; D2; 
[04:20:08.677] Solucion #188: A6; B2; C5; D1; 
[04:20:08.677] Solucion #189: A6; B2; C7; D1; 
[04:20:08.677] Solucion #190: A6; B2; C9; D1; 
[04:20:08.677] Solucion #191: A6; B2; C10; D1; 
[04:20:08.677] Solucion #192: A6; B3; C1; D4; 
[04:20:08.677] Solucion #193: A6; B3; C5; D2; 
[04:20:08.677] Solucion #194: A6; B3; C7; D2; 
[04:20:08.677] Solucion #195: A6; B3; C9; D2; 
[04:20:08.677] Solucion #196: A6; B3; C10; D2; 
[04:20:08.677] Solucion #197: A6; B4; C1; D5; 
[04:20:08.677] Solucion #198: A6; B4; C2; D5; 
[04:20:08.677] Solucion #199: A6; B4; C7; D1; 
[04:20:08.677] Solucion #200: A6; B4; C9; D1; 
[04:20:08.677] Solucion #201: A6; B4; C10; D1; 
[04:20:08.677] Solucion #202: A6; B8; C1; D4; 
[04:20:08.677] Solucion #203: A6; B8; C2; D4; 
[04:20:08.677] Solucion #204: A6; B8; C3; D1; 
[04:20:08.677] Solucion #205: A6; B8; C5; D1; 
[04:20:08.677] Solucion #206: A6; B8; C10; D1; 
[04:20:08.677] Solucion #207: A6; B9; C1; D4; 
[04:20:08.677] Solucion #208: A6; B9; C2; D4; 
[04:20:08.677] Solucion #209: A6; B9; C3; D1; 
[04:20:08.677] Solucion #210: A6; B9; C5; D1; 
[04:20:08.677] Solucion #211: A6; B9; C7; D1; 
[04:20:08.677] Solucion #212: A6; B10; C1; D4; 
[04:20:08.677] Solucion #213: A6; B10; C2; D4; 
[04:20:08.677] Solucion #214: A6; B10; C3; D1; 
[04:20:08.677] Solucion #215: A6; B10; C5; D1; 
[04:20:08.677] Solucion #216: A6; B10; C7; D1; 
[04:20:08.687] Solucion #217: A7; B1; C3; D5; 
[04:20:08.687] Solucion #218: A7; B1; C4; D2; 
[04:20:08.687] Solucion #219: A7; B1; C6; D2; 
[04:20:08.687] Solucion #220: A7; B1; C8; D2; 
[04:20:08.687] Solucion #221: A7; B1; C10; D2; 
[04:20:08.687] Solucion #222: A7; B2; C4; D1; 
[04:20:08.687] Solucion #223: A7; B2; C6; D1; 
[04:20:08.687] Solucion #224: A7; B2; C8; D1; 
[04:20:08.687] Solucion #225: A7; B2; C10; D1; 
[04:20:08.687] Solucion #226: A7; B3; C1; D6; 
[04:20:08.687] Solucion #227: A7; B3; C6; D2; 
[04:20:08.687] Solucion #228: A7; B3; C8; D2; 
[04:20:08.687] Solucion #229: A7; B3; C10; D2; 
[04:20:08.687] Solucion #230: A7; B4; C1; D3; 
[04:20:08.687] Solucion #231: A7; B4; C2; D5; 
[04:20:08.687] Solucion #232: A7; B4; C6; D1; 
[04:20:08.687] Solucion #233: A7; B4; C8; D1; 
[04:20:08.687] Solucion #234: A7; B4; C10; D1; 
[04:20:08.687] Solucion #235: A7; B5; C1; D6; 
[04:20:08.687] Solucion #236: A7; B5; C2; D6; 
[04:20:08.687] Solucion #237: A7; B5; C3; D1; 
[04:20:08.687] Solucion #238: A7; B5; C8; D1; 
[04:20:08.687] Solucion #239: A7; B5; C10; D1; 
[04:20:08.687] Solucion #240: A7; B9; C1; D3; 
[04:20:08.687] Solucion #241: A7; B9; C2; D5; 
[04:20:08.687] Solucion #242: A7; B9; C3; D1; 
[04:20:08.687] Solucion #243: A7; B9; C4; D1; 
[04:20:08.687] Solucion #244: A7; B9; C6; D1; 
[04:20:08.687] Solucion #245: A7; B10; C1; D3; 
[04:20:08.687] Solucion #246: A7; B10; C2; D5; 
[04:20:08.687] Solucion #247: A7; B10; C3; D1; 
[04:20:08.687] Solucion #248: A7; B10; C4; D1; 
[04:20:08.687] Solucion #249: A7; B10; C6; D1; 
[04:20:08.687] Solucion #250: A7; B10; C8; D1; 
[04:20:08.687] Solucion #251: A8; B1; C3; D6; 
[04:20:08.687] Solucion #252: A8; B1; C4; D2; 
[04:20:08.687] Solucion #253: A8; B1; C5; D2; 
[04:20:08.687] Solucion #254: A8; B1; C7; D2; 
[04:20:08.697] Solucion #255: A8; B1; C9; D2; 
[04:20:08.697] Solucion #256: A8; B2; C4; D1; 
[04:20:08.697] Solucion #257: A8; B2; C5; D1; 
[04:20:08.697] Solucion #258: A8; B2; C7; D1; 
[04:20:08.697] Solucion #259: A8; B2; C9; D1; 
[04:20:08.697] Solucion #260: A8; B3; C1; D4; 
[04:20:08.697] Solucion #261: A8; B3; C5; D2; 
[04:20:08.697] Solucion #262: A8; B3; C7; D2; 
[04:20:08.697] Solucion #263: A8; B3; C9; D2; 
[04:20:08.697] Solucion #264: A8; B4; C1; D3; 
[04:20:08.697] Solucion #265: A8; B4; C2; D7; 
[04:20:08.697] Solucion #266: A8; B4; C7; D1; 
[04:20:08.697] Solucion #267: A8; B4; C9; D1; 
[04:20:08.697] Solucion #268: A8; B5; C1; D4; 
[04:20:08.697] Solucion #269: A8; B5; C2; D4; 
[04:20:08.697] Solucion #270: A8; B5; C3; D1; 
[04:20:08.697] Solucion #271: A8; B5; C7; D1; 
[04:20:08.697] Solucion #272: A8; B5; C9; D1; 
[04:20:08.697] Solucion #273: A8; B6; C1; D3; 
[04:20:08.697] Solucion #274: A8; B6; C2; D7; 
[04:20:08.697] Solucion #275: A8; B6; C3; D1; 
[04:20:08.697] Solucion #276: A8; B6; C4; D1; 
[04:20:08.697] Solucion #277: A8; B6; C9; D1; 
[04:20:08.707] Solucion #278: A8; B10; C1; D3; 
[04:20:08.707] Solucion #279: A8; B10; C2; D4; 
[04:20:08.707] Solucion #280: A8; B10; C3; D1; 
[04:20:08.707] Solucion #281: A8; B10; C4; D1; 
[04:20:08.707] Solucion #282: A8; B10; C5; D1; 
[04:20:08.707] Solucion #283: A8; B10; C7; D1; 
[04:20:08.707] Solucion #284: A9; B1; C3; D5; 
[04:20:08.707] Solucion #285: A9; B1; C4; D2; 
[04:20:08.707] Solucion #286: A9; B1; C5; D2; 
[04:20:08.707] Solucion #287: A9; B1; C6; D2; 
[04:20:08.707] Solucion #288: A9; B1; C8; D2; 
[04:20:08.707] Solucion #289: A9; B1; C10; D2; 
[04:20:08.707] Solucion #290: A9; B2; C4; D1; 
[04:20:08.707] Solucion #291: A9; B2; C5; D1; 
[04:20:08.707] Solucion #292: A9; B2; C6; D1; 
[04:20:08.707] Solucion #293: A9; B2; C8; D1; 
[04:20:08.707] Solucion #294: A9; B2; C10; D1; 
[04:20:08.707] Solucion #295: A9; B3; C1; D4; 
[04:20:08.707] Solucion #296: A9; B3; C5; D2; 
[04:20:08.707] Solucion #297: A9; B3; C6; D2; 
[04:20:08.707] Solucion #298: A9; B3; C8; D2; 
[04:20:08.707] Solucion #299: A9; B3; C10; D2; 
[04:20:08.707] Solucion #300: A9; B4; C1; D3; 
[04:20:08.707] Solucion #301: A9; B4; C2; D5; 
[04:20:08.707] Solucion #302: A9; B4; C6; D1; 
[04:20:08.707] Solucion #303: A9; B4; C8; D1; 
[04:20:08.707] Solucion #304: A9; B4; C10; D1; 
[04:20:08.707] Solucion #305: A9; B5; C1; D4; 
[04:20:08.717] Solucion #306: A9; B5; C2; D4; 
[04:20:08.717] Solucion #307: A9; B5; C3; D1; 
[04:20:08.717] Solucion #308: A9; B5; C8; D1; 
[04:20:08.717] Solucion #309: A9; B5; C10; D1; 
[04:20:08.717] Solucion #310: A9; B6; C1; D3; 
[04:20:08.717] Solucion #311: A9; B6; C2; D5; 
[04:20:08.717] Solucion #312: A9; B6; C3; D1; 
[04:20:08.717] Solucion #313: A9; B6; C4; D1; 
[04:20:08.717] Solucion #314: A9; B6; C8; D1; 
[04:20:08.717] Solucion #315: A9; B6; C10; D1; 
[04:20:08.717] Solucion #316: A9; B7; C1; D3; 
[04:20:08.717] Solucion #317: A9; B7; C2; D4; 
[04:20:08.717] Solucion #318: A9; B7; C3; D1; 
[04:20:08.717] Solucion #319: A9; B7; C4; D1; 
[04:20:08.717] Solucion #320: A9; B7; C5; D1; 
[04:20:08.717] Solucion #321: A9; B7; C10; D1; 
[04:20:08.717] Solucion #322: A10; B1; C3; D5; 
[04:20:08.717] Solucion #323: A10; B1; C4; D2; 
[04:20:08.717] Solucion #324: A10; B1; C5; D2; 
[04:20:08.717] Solucion #325: A10; B1; C6; D2; 
[04:20:08.717] Solucion #326: A10; B1; C7; D2; 
[04:20:08.717] Solucion #327: A10; B1; C9; D2; 
[04:20:08.717] Solucion #328: A10; B2; C4; D1; 
[04:20:08.717] Solucion #329: A10; B2; C5; D1; 
[04:20:08.717] Solucion #330: A10; B2; C6; D1; 
[04:20:08.717] Solucion #331: A10; B2; C7; D1; 
[04:20:08.717] Solucion #332: A10; B2; C9; D1; 
[04:20:08.717] Solucion #333: A10; B3; C1; D4; 
[04:20:08.717] Solucion #334: A10; B3; C5; D2; 
[04:20:08.717] Solucion #335: A10; B3; C6; D2; 
[04:20:08.717] Solucion #336: A10; B3; C7; D2; 
[04:20:08.717] Solucion #337: A10; B3; C9; D2; 
[04:20:08.727] Solucion #338: A10; B4; C1; D3; 
[04:20:08.727] Solucion #339: A10; B4; C2; D5; 
[04:20:08.727] Solucion #340: A10; B4; C6; D1; 
[04:20:08.727] Solucion #341: A10; B4; C7; D1; 
[04:20:08.727] Solucion #342: A10; B4; C9; D1; 
[04:20:08.727] Solucion #343: A10; B5; C1; D4; 
[04:20:08.727] Solucion #344: A10; B5; C2; D4; 
[04:20:08.727] Solucion #345: A10; B5; C3; D1; 
[04:20:08.727] Solucion #346: A10; B5; C7; D1; 
[04:20:08.727] Solucion #347: A10; B5; C9; D1; 
[04:20:08.727] Solucion #348: A10; B6; C1; D3; 
[04:20:08.727] Solucion #349: A10; B6; C2; D5; 
[04:20:08.727] Solucion #350: A10; B6; C3; D1; 
[04:20:08.727] Solucion #351: A10; B6; C4; D1; 
[04:20:08.727] Solucion #352: A10; B6; C9; D1; 
[04:20:08.727] Solucion #353: A10; B7; C1; D3; 
[04:20:08.727] Solucion #354: A10; B7; C2; D4; 
[04:20:08.727] Solucion #355: A10; B7; C3; D1; 
[04:20:08.727] Solucion #356: A10; B7; C4; D1; 
[04:20:08.727] Solucion #357: A10; B7; C5; D1; 
[04:20:08.727] Solucion #358: A10; B7; C9; D1; 
[04:20:08.727] Solucion #359: A10; B8; C1; D3; 
[04:20:08.727] Solucion #360: A10; B8; C2; D4; 
[04:20:08.727] Solucion #361: A10; B8; C3; D1; 
[04:20:08.727] Solucion #362: A10; B8; C4; D1; 
[04:20:08.727] Solucion #363: A10; B8; C5; D1; 
[04:20:08.727] Solucion #364: A10; B8; C6; D1; 
