[04:18:33.076] Solucion #1: A1; B3; C5; D2; E4; 
[04:18:33.096] Solucion #77: A1; B9; C4; D2; E7; 
[04:18:33.096] Solucion #78: A1; B9; C4; D6; E3; 
[04:18:33.096] Solucion #79: A1; B9; C4; D8; E3; 
[04:18:33.096] Solucion #80: A1; B9; C5; D2; E4; 
[04:18:33.096] Solucion #81: A1; B9; C5; D3; E8; 
[04:18:33.096] Solucion #82: A1; B9; C5; D8; E2; 
[04:18:33.096] Solucion #83: A1; B9; C6; D2; E7; 
[04:18:33.096] Solucion #84: A1; B9; C6; D3; E7; 
[04:18:33.096] Solucion #85: A1; B9; C6; D8; E2; 
[04:18:33.096] Solucion #86: A1; B9; C7; D2; E4; 
[04:18:33.096] Solucion #87: A1; B9; C7; D3; E8; 
[04:18:33.096] Solucion #88: A1; B9; C7; D5; E2; 
[04:18:33.096] Solucion #89: A2; B4; C1; D3; E5; 
[04:18:33.096] Solucion #90: A2; B4; C1; D7; E5; 
[04:18:33.096] Solucion #91: A2; B4; C1; D8; E5; 
[04:18:33.096] Solucion #92: A2; B4; C1; D9; E5; 
[04:18:33.096] Solucion #93: A2; B4; C6; D1; E3; 
[04:18:33.096] Solucion #94: A2; B4; C6; D3; E5; 
[04:18:33.096] Solucion #95: A2; B4; C6; D8; E3; 
[04:18:33.096] Solucion #96: A2; B4; C6; D9; E3; 
[04:18:33.096] Solucion #97: A2; B4; C7; D1; E3; 
[04:18:33.096] Solucion #98: A2; B4; C7; D3; E8; 
[04:18:33.096] Solucion #99: A2; B4; C7; D9; E3; 
[04:18:33.096] Solucion #100: A2; B4; C8; D1; E3; 
[04:18:33.096] Solucion #101: A2; B4; C8; D3; E5; 
[04:18:33.096] Solucion #102: A2; B4; C9; D1; E3; 
[04:18:33.096] Solucion #103: A2; B4; C9; D3; E5; 
[04:18:33.096] Solucion #104: A2; B4; C9; D7; E3; 
[04:18:33.096] Solucion #105: A2; B5; C1; D4; E7; 
[04:18:33.096] Solucion #106: A2; B5; C1; D6; E4; 
[04:18:33.096] Solucion #107: A2; B5; C1; D8; E4; 
[04:18:33.096] Solucion #108: A2; B5; C1; D9; E4; 
[04:18:33.096] Solucion #109: A2; B5; C3; D1; E4; 
[04:18:33.096] Solucion #110: A2; B5; C3; D6; E4; 
[04:18:33.096] Solucion #111: A2; B5; C3; D8; E4; 
[04:18:33.096] Solucion #112: A2; B5; C3; D9; E4; 
[04:18:33.096] Solucion #113: A2; B5; C7; D1; E3; 
[04:18:33.096] Solucion #114: A2; B5; C7; D4; E1; 
[04:18:33.096] Solucion #115: A2; B5; C7; D9; E1; 
[04:18:33.096] Solucion #116: A2; B5; C8; D1; E3; 
[04:18:33.096] Solucion #117: A2; B5; C8; D4; E1; 
[04:18:33.096] Solucion #118: A2; B5; C8; D6; E1; 
[04:18:33.096] Solucion #119: A2; B5; C9; D1; E3; 
[04:18:33.096] Solucion #120: A2; B5; C9; D4; E1; 
[04:18:33.096] Solucion #121: A2; B5; C9; D6; E1; 
[04:18:33.096] Solucion #122: A2; B6; C1; D3; E5; 
[04:18:33.096] Solucion #123: A2; B6; C1; D7; E4; 
[04:18:33.096] Solucion #124: A2; B6; C1; D9; E4; 
[04:18:33.106] Solucion #125: A2; B6; C3; D1; E4; 
[04:18:33.106] Solucion #126: A2; B6; C3; D7; E4; 
[04:18:33.106] Solucion #127: A2; B6; C3; D9; E4; 
[04:18:33.106] Solucion #128: A2; B6; C8; D1; E4; 
[04:18:33.106] Solucion #129: A2; B6; C8; D3; E1; 
[04:18:33.106] Solucion #130: A2; B6; C9; D1; E4; 
[04:18:33.106] Solucion #131: A2; B6; C9; D3; E1; 
[04:18:33.106] Solucion #132: A2; B6; C9; D7; E1; 
[04:18:33.106] Solucion #133: A2; B7; C1; D3; E5; 
[04:18:33.106] Solucion #134: A2; B7; C1; D4; E8; 
[04:18:33.106] Solucion #135: A2; B7; C1; D6; E8; 
[04:18:33.106] Solucion #136: A2; B7; C1; D8; E5; 
[04:18:33.106] Solucion #137: A2; B7; C3; D1; E8; 
[04:18:33.106] Solucion #138: A2; B7; C3; D6; E8; 
[04:18:33.106] Solucion #139: A2; B7; C5; D1; E8; 
[04:18:33.106] Solucion #140: A2; B7; C5; D3; E1; 
[04:18:33.106] Solucion #141: A2; B7; C5; D8; E1; 
[04:18:33.106] Solucion #142: A2; B7; C9; D1; E3; 
[04:18:33.106] Solucion #143: A2; B7; C9; D3; E1; 
[04:18:33.106] Solucion #144: A2; B7; C9; D4; E1; 
[04:18:33.106] Solucion #145: A2; B7; C9; D6; E1; 
[04:18:33.106] Solucion #146: A2; B8; C1; D3; E7; 
[04:18:33.106] Solucion #147: A2; B8; C1; D4; E7; 
[04:18:33.106] Solucion #148: A2; B8; C1; D7; E4; 
[04:18:33.106] Solucion #149: A2; B8; C1; D9; E4; 
[04:18:33.106] Solucion #150: A2; B8; C3; D1; E4; 
[04:18:33.106] Solucion #151: A2; B8; C3; D7; E4; 
[04:18:33.106] Solucion #152: A2; B8; C3; D9; E4; 
[04:18:33.106] Solucion #153: A2; B8; C5; D1; E4; 
[04:18:33.106] Solucion #154: A2; B8; C5; D3; E1; 
[04:18:33.106] Solucion #155: A2; B8; C5; D7; E1; 
[04:18:33.106] Solucion #156: A2; B8; C5; D9; E1; 
[04:18:33.106] Solucion #157: A2; B8; C6; D1; E3; 
[04:18:33.106] Solucion #158: A2; B8; C6; D3; E1; 
[04:18:33.106] Solucion #159: A2; B8; C6; D4; E1; 
[04:18:33.106] Solucion #160: A2; B8; C6; D9; E1; 
[04:18:33.106] Solucion #161: A2; B9; C1; D3; E5; 
[04:18:33.106] Solucion #162: A2; B9; C1; D4; E7; 
[04:18:33.106] Solucion #163: A2; B9; C1; D6; E4; 
[04:18:33.106] Solucion #164: A2; B9; C1; D8; E4; 
[04:18:33.106] Solucion #165: A2; B9; C3; D1; E4; 
[04:18:33.106] Solucion #166: A2; B9; C3; D6; E4; 
[04:18:33.106] Solucion #167: A2; B9; C3; D8; E4; 
[04:18:33.106] Solucion #168: A2; B9; C5; D1; E4; 
[04:18:33.106] Solucion #169: A2; B9; C5; D3; E1; 
[04:18:33.106] Solucion #170: A2; B9; C5; D8; E1; 
[04:18:33.106] Solucion #171: A2; B9; C6; D1; E3; 
[04:18:33.106] Solucion #172: A2; B9; C6; D3; E1; 
[04:18:33.106] Solucion #173: A2; B9; C6; D4; E1; 
[04:18:33.106] Solucion #174: A2; B9; C6; D8; E1; 
[04:18:33.106] Solucion #175: A2; B9; C7; D1; E3; 
[04:18:33.106] Solucion #176: A2; B9; C7; D3; E1; 
[04:18:33.106] Solucion #177: A2; B9; C7; D4; E1; 
[04:18:33.106] Solucion #178: A3; B1; C4; D2; E5; 
[04:18:33.106] Solucion #179: A3; B1; C4; D7; E5; 
[04:18:33.106] Solucion #180: A3; B1; C4; D8; E5; 
[04:18:33.106] Solucion #181: A3; B1; C4; D9; E5; 
[04:18:33.106] Solucion #182: A3; B1; C6; D2; E5; 
[04:18:33.106] Solucion #183: A3; B1; C6; D4; E2; 
[04:18:33.106] Solucion #184: A3; B1; C6; D8; E2; 
[04:18:33.106] Solucion #185: A3; B1; C6; D9; E2; 
[04:18:33.106] Solucion #186: A3; B1; C7; D2; E6; 
[04:18:33.106] Solucion #187: A3; B1; C7; D4; E2; 
[04:18:33.106] Solucion #188: A3; B1; C7; D5; E2; 
[04:18:33.106] Solucion #189: A3; B1; C7; D9; E2; 
[04:18:33.106] Solucion #190: A3; B1; C8; D2; E5; 
[04:18:33.116] Solucion #191: A3; B1; C8; D4; E2; 
[04:18:33.116] Solucion #192: A3; B1; C8; D5; E2; 
[04:18:33.116] Solucion #193: A3; B1; C9; D2; E5; 
[04:18:33.116] Solucion #194: A3; B1; C9; D4; E2; 
[04:18:33.116] Solucion #195: A3; B1; C9; D5; E2; 
[04:18:33.116] Solucion #196: A3; B1; C9; D7; E2; 
[04:18:33.116] Solucion #197: A3; B5; C2; D4; E1; 
[04:18:33.116] Solucion #198: A3; B5; C2; D8; E1; 
[04:18:33.116] Solucion #199: A3; B5; C2; D9; E1; 
[04:18:33.116] Solucion #200: A3; B5; C7; D1; E4; 
[04:18:33.116] Solucion #201: A3; B5; C7; D2; E4; 
[04:18:33.116] Solucion #202: A3; B5; C7; D4; E1; 
[04:18:33.116] Solucion #203: A3; B5; C7; D9; E1; 
[04:18:33.116] Solucion #204: A3; B5; C8; D1; E4; 
[04:18:33.116] Solucion #205: A3; B5; C8; D2; E4; 
[04:18:33.116] Solucion #206: A3; B5; C8; D4; E1; 
[04:18:33.116] Solucion #207: A3; B5; C9; D1; E4; 
[04:18:33.116] Solucion #208: A3; B5; C9; D2; E4; 
[04:18:33.116] Solucion #209: A3; B5; C9; D4; E1; 
[04:18:33.116] Solucion #210: A3; B6; C2; D5; E1; 
[04:18:33.116] Solucion #211: A3; B6; C2; D7; E1; 
[04:18:33.116] Solucion #212: A3; B6; C2; D9; E1; 
[04:18:33.116] Solucion #213: A3; B6; C4; D1; E5; 
[04:18:33.116] Solucion #214: A3; B6; C4; D2; E5; 
[04:18:33.116] Solucion #215: A3; B6; C4; D7; E1; 
[04:18:33.116] Solucion #216: A3; B6; C4; D9; E1; 
[04:18:33.116] Solucion #217: A3; B6; C8; D1; E4; 
[04:18:33.116] Solucion #218: A3; B6; C8; D2; E4; 
[04:18:33.116] Solucion #219: A3; B6; C8; D5; E1; 
[04:18:33.116] Solucion #220: A3; B6; C9; D1; E4; 
[04:18:33.116] Solucion #221: A3; B6; C9; D2; E4; 
[04:18:33.116] Solucion #222: A3; B6; C9; D5; E1; 
[04:18:33.116] Solucion #223: A3; B6; C9; D7; E1; 
[04:18:33.116] Solucion #224: A3; B7; C2; D4; E1; 
[04:18:33.116] Solucion #225: A3; B7; C2; D8; E1; 
[04:18:33.116] Solucion #226: A3; B7; C4; D1; E5; 
[04:18:33.116] Solucion #227: A3; B7; C4; D2; E5; 
[04:18:33.116] Solucion #228: A3; B7; C4; D8; E1; 
[04:18:33.116] Solucion #229: A3; B7; C9; D1; E5; 
[04:18:33.116] Solucion #230: A3; B7; C9; D2; E5; 
[04:18:33.116] Solucion #231: A3; B7; C9; D4; E1; 
[04:18:33.116] Solucion #232: A3; B8; C2; D4; E1; 
[04:18:33.116] Solucion #233: A3; B8; C2; D5; E1; 
[04:18:33.116] Solucion #234: A3; B8; C2; D7; E1; 
[04:18:33.116] Solucion #235: A3; B8; C2; D9; E1; 
[04:18:33.116] Solucion #236: A3; B8; C4; D1; E9; 
[04:18:33.116] Solucion #237: A3; B8; C4; D2; E9; 
[04:18:33.116] Solucion #238: A3; B8; C4; D7; E1; 
[04:18:33.116] Solucion #239: A3; B8; C4; D9; E1; 
[04:18:33.116] Solucion #240: A3; B8; C6; D1; E9; 
[04:18:33.116] Solucion #241: A3; B8; C6; D2; E9; 
[04:18:33.116] Solucion #242: A3; B8; C6; D4; E1; 
[04:18:33.116] Solucion #243: A3; B8; C6; D9; E1; 
[04:18:33.116] Solucion #244: A3; B9; C2; D4; E1; 
[04:18:33.116] Solucion #245: A3; B9; C2; D5; E1; 
[04:18:33.116] Solucion #246: A3; B9; C2; D8; E1; 
[04:18:33.116] Solucion #247: A3; B9; C4; D1; E5; 
[04:18:33.116] Solucion #248: A3; B9; C4; D2; E5; 
[04:18:33.116] Solucion #249: A3; B9; C4; D8; E1; 
[04:18:33.116] Solucion #250: A3; B9; C6; D1; E5; 
[04:18:33.116] Solucion #251: A3; B9; C6; D2; E5; 
[04:18:33.116] Solucion #252: A3; B9; C6; D4; E1; 
[04:18:33.116] Solucion #253: A3; B9; C6; D8; E1; 
[04:18:33.116] Solucion #254: A3; B9; C7; D1; E4; 
[04:18:33.116] Solucion #255: A3; B9; C7; D2; E4; 
[04:18:33.116] Solucion #256: A3; B9; C7; D4; E1; 
[04:18:33.116] Solucion #257: A3; B9; C7; D5; E1; 
[04:18:33.126] Solucion #258: A4; B1; C3; D5; E2; 
[04:18:33.126] Solucion #259: A4; B1; C3; D6; E2; 
[04:18:33.126] Solucion #260: A4; B1; C3; D8; E2; 
[04:18:33.126] Solucion #261: A4; B1; C3; D9; E2; 
[04:18:33.126] Solucion #262: A4; B1; C5; D2; E6; 
[04:18:33.126] Solucion #263: A4; B1; C5; D8; E2; 
[04:18:33.126] Solucion #264: A4; B1; C5; D9; E2; 
[04:18:33.126] Solucion #265: A4; B1; C7; D2; E6; 
[04:18:33.126] Solucion #266: A4; B1; C7; D5; E2; 
[04:18:33.126] Solucion #267: A4; B1; C7; D9; E2; 
[04:18:33.126] Solucion #268: A4; B1; C8; D2; E5; 
[04:18:33.126] Solucion #269: A4; B1; C8; D5; E2; 
[04:18:33.126] Solucion #270: A4; B1; C8; D6; E2; 
[04:18:33.126] Solucion #271: A4; B1; C9; D2; E5; 
[04:18:33.126] Solucion #272: A4; B1; C9; D5; E2; 
[04:18:33.126] Solucion #273: A4; B1; C9; D6; E2; 
[04:18:33.126] Solucion #274: A4; B2; C5; D3; E1; 
[04:18:33.126] Solucion #275: A4; B2; C5; D8; E1; 
[04:18:33.126] Solucion #276: A4; B2; C5; D9; E1; 
[04:18:33.126] Solucion #277: A4; B2; C7; D3; E1; 
[04:18:33.126] Solucion #278: A4; B2; C7; D5; E1; 
[04:18:33.126] Solucion #279: A4; B2; C7; D9; E1; 
[04:18:33.126] Solucion #280: A4; B2; C8; D3; E1; 
[04:18:33.126] Solucion #281: A4; B2; C8; D5; E1; 
[04:18:33.126] Solucion #282: A4; B2; C8; D6; E1; 
[04:18:33.126] Solucion #283: A4; B2; C9; D3; E1; 
[04:18:33.126] Solucion #284: A4; B2; C9; D5; E1; 
[04:18:33.126] Solucion #285: A4; B2; C9; D6; E1; 
[04:18:33.126] Solucion #286: A4; B6; C1; D3; E5; 
[04:18:33.126] Solucion #287: A4; B6; C1; D5; E2; 
[04:18:33.126] Solucion #288: A4; B6; C1; D9; E2; 
[04:18:33.126] Solucion #289: A4; B6; C3; D5; E2; 
[04:18:33.126] Solucion #290: A4; B6; C3; D9; E2; 
[04:18:33.126] Solucion #291: A4; B6; C8; D2; E5; 
[04:18:33.126] Solucion #292: A4; B6; C8; D3; E1; 
[04:18:33.126] Solucion #293: A4; B6; C8; D5; E1; 
[04:18:33.126] Solucion #294: A4; B6; C9; D2; E5; 
[04:18:33.126] Solucion #295: A4; B6; C9; D3; E1; 
[04:18:33.126] Solucion #296: A4; B6; C9; D5; E1; 
[04:18:33.126] Solucion #297: A4; B7; C1; D3; E5; 
[04:18:33.126] Solucion #298: A4; B7; C1; D6; E2; 
[04:18:33.126] Solucion #299: A4; B7; C1; D8; E2; 
[04:18:33.126] Solucion #300: A4; B7; C3; D6; E2; 
[04:18:33.126] Solucion #301: A4; B7; C3; D8; E2; 
[04:18:33.126] Solucion #302: A4; B7; C5; D2; E6; 
[04:18:33.126] Solucion #303: A4; B7; C5; D3; E1; 
[04:18:33.126] Solucion #304: A4; B7; C5; D8; E1; 
[04:18:33.126] Solucion #305: A4; B7; C9; D2; E5; 
[04:18:33.126] Solucion #306: A4; B7; C9; D3; E1; 
[04:18:33.126] Solucion #307: A4; B7; C9; D6; E1; 
[04:18:33.126] Solucion #308: A4; B8; C1; D3; E6; 
[04:18:33.126] Solucion #309: A4; B8; C1; D5; E2; 
[04:18:33.126] Solucion #310: A4; B8; C1; D9; E2; 
[04:18:33.126] Solucion #311: A4; B8; C3; D5; E2; 
[04:18:33.126] Solucion #312: A4; B8; C3; D9; E2; 
[04:18:33.126] Solucion #313: A4; B8; C5; D2; E6; 
[04:18:33.126] Solucion #314: A4; B8; C5; D3; E1; 
[04:18:33.126] Solucion #315: A4; B8; C5; D9; E1; 
[04:18:33.126] Solucion #316: A4; B9; C1; D3; E5; 
[04:18:33.126] Solucion #317: A4; B9; C1; D5; E2; 
[04:18:33.126] Solucion #318: A4; B9; C1; D6; E2; 
[04:18:33.126] Solucion #319: A4; B9; C1; D8; E2; 
[04:18:33.126] Solucion #320: A4; B9; C3; D5; E2; 
[04:18:33.126] Solucion #321: A4; B9; C3; D6; E2; 
[04:18:33.126] Solucion #322: A4; B9; C3; D8; E2; 
[04:18:33.126] Solucion #323: A4; B9; C5; D3; E1; 
[04:18:33.126] Solucion #324: A4; B9; C5; D8; E1; 
[04:18:33.126] Solucion #325: A4; B9; C7; D3; E1; 
[04:18:33.126] Solucion #326: A4; B9; C7; D5; E1; 
[04:18:33.136] Solucion #327: A5; B1; C4; D6; E3; 
[04:18:33.136] Solucion #328: A5; B1; C4; D7; E3; 
[04:18:33.136] Solucion #329: A5; B1; C4; D9; E3; 
[04:18:33.136] Solucion #330: A5; B1; C6; D4; E2; 
[04:18:33.136] Solucion #331: A5; B1; C6; D9; E2; 
[04:18:33.136] Solucion #332: A5; B1; C8; D4; E2; 
[04:18:33.136] Solucion #333: A5; B1; C8; D6; E2; 
[04:18:33.136] Solucion #334: A5; B1; C9; D4; E2; 
[04:18:33.136] Solucion #335: A5; B1; C9; D6; E2; 
[04:18:33.136] Solucion #336: A5; B1; C9; D7; E2; 
[04:18:33.136] Solucion #337: A5; B2; C4; D1; E3; 
[04:18:33.136] Solucion #338: A5; B2; C4; D6; E3; 
[04:18:33.136] Solucion #339: A5; B2; C4; D7; E3; 
[04:18:33.136] Solucion #340: A5; B2; C4; D9; E3; 
[04:18:33.136] Solucion #341: A5; B2; C6; D1; E3; 
[04:18:33.136] Solucion #342: A5; B2; C6; D3; E7; 
[04:18:33.136] Solucion #343: A5; B2; C6; D9; E3; 
[04:18:33.136] Solucion #344: A5; B2; C8; D1; E3; 
[04:18:33.136] Solucion #345: A5; B2; C8; D3; E7; 
[04:18:33.136] Solucion #346: A5; B2; C8; D6; E3; 
[04:18:33.136] Solucion #347: A5; B2; C9; D1; E3; 
[04:18:33.136] Solucion #348: A5; B2; C9; D3; E6; 
[04:18:33.136] Solucion #349: A5; B2; C9; D6; E3; 
[04:18:33.136] Solucion #350: A5; B2; C9; D7; E3; 
[04:18:33.136] Solucion #351: A5; B3; C1; D4; E2; 
[04:18:33.136] Solucion #352: A5; B3; C1; D6; E2; 
[04:18:33.136] Solucion #353: A5; B3; C1; D7; E2; 
[04:18:33.136] Solucion #354: A5; B3; C1; D9; E2; 
[04:18:33.136] Solucion #355: A5; B3; C6; D4; E2; 
[04:18:33.136] Solucion #356: A5; B3; C6; D9; E2; 
[04:18:33.136] Solucion #357: A5; B3; C8; D4; E2; 
[04:18:33.136] Solucion #358: A5; B3; C8; D6; E2; 
[04:18:33.136] Solucion #359: A5; B3; C9; D4; E2; 
[04:18:33.146] Solucion #360: A5; B3; C9; D6; E2; 
[04:18:33.146] Solucion #361: A5; B3; C9; D7; E2; 
[04:18:33.146] Solucion #362: A5; B7; C1; D3; E6; 
[04:18:33.146] Solucion #363: A5; B7; C1; D4; E2; 
[04:18:33.146] Solucion #364: A5; B7; C1; D6; E2; 
[04:18:33.146] Solucion #365: A5; B7; C2; D4; E6; 
[04:18:33.146] Solucion #366: A5; B7; C2; D6; E3; 
[04:18:33.146] Solucion #367: A5; B7; C4; D1; E3; 
[04:18:33.146] Solucion #368: A5; B7; C4; D6; E3; 
[04:18:33.146] Solucion #369: A5; B7; C9; D1; E3; 
[04:18:33.146] Solucion #370: A5; B7; C9; D3; E6; 
[04:18:33.146] Solucion #371: A5; B7; C9; D4; E2; 
[04:18:33.146] Solucion #372: A5; B7; C9; D6; E2; 
[04:18:33.146] Solucion #373: A5; B8; C1; D3; E6; 
[04:18:33.146] Solucion #374: A5; B8; C1; D4; E2; 
[04:18:33.146] Solucion #375: A5; B8; C1; D7; E2; 
[04:18:33.146] Solucion #376: A5; B8; C1; D9; E2; 
[04:18:33.146] Solucion #377: A5; B8; C2; D4; E6; 
[04:18:33.146] Solucion #378: A5; B8; C2; D7; E3; 
[04:18:33.146] Solucion #379: A5; B8; C2; D9; E3; 
[04:18:33.146] Solucion #380: A5; B8; C4; D1; E3; 
[04:18:33.146] Solucion #381: A5; B8; C4; D7; E3; 
[04:18:33.146] Solucion #382: A5; B8; C4; D9; E3; 
[04:18:33.146] Solucion #383: A5; B8; C6; D1; E3; 
[04:18:33.146] Solucion #384: A5; B8; C6; D3; E7; 
[04:18:33.146] Solucion #385: A5; B8; C6; D4; E2; 
[04:18:33.146] Solucion #386: A5; B8; C6; D9; E2; 
[04:18:33.146] Solucion #387: A5; B9; C1; D3; E7; 
[04:18:33.146] Solucion #388: A5; B9; C1; D4; E2; 
[04:18:33.146] Solucion #389: A5; B9; C1; D6; E2; 
[04:18:33.146] Solucion #390: A5; B9; C2; D4; E7; 
[04:18:33.146] Solucion #391: A5; B9; C2; D6; E3; 
[04:18:33.146] Solucion #392: A5; B9; C4; D1; E3; 
[04:18:33.146] Solucion #393: A5; B9; C4; D6; E3; 
[04:18:33.146] Solucion #394: A5; B9; C6; D1; E3; 
[04:18:33.146] Solucion #395: A5; B9; C6; D3; E7; 
[04:18:33.146] Solucion #396: A5; B9; C6; D4; E2; 
[04:18:33.146] Solucion #397: A6; B1; C3; D5; E7; 
[04:18:33.146] Solucion #398: A6; B1; C3; D7; E9; 
[04:18:33.146] Solucion #399: A6; B1; C5; D2; E8; 
[04:18:33.146] Solucion #400: A6; B1; C5; D7; E9; 
[04:18:33.146] Solucion #401: A6; B1; C7; D2; E8; 
[04:18:33.146] Solucion #402: A6; B1; C7; D4; E8; 
[04:18:33.146] Solucion #403: A6; B1; C7; D5; E3; 
[04:18:33.146] Solucion #404: A6; B1; C9; D2; E5; 
[04:18:33.146] Solucion #405: A6; B1; C9; D4; E8; 
[04:18:33.146] Solucion #406: A6; B1; C9; D5; E3; 
[04:18:33.146] Solucion #407: A6; B1; C9; D7; E3; 
[04:18:33.146] Solucion #408: A6; B2; C5; D1; E4; 
[04:18:33.146] Solucion #409: A6; B2; C5; D7; E1; 
[04:18:33.146] Solucion #410: A6; B2; C5; D8; E1; 
[04:18:33.146] Solucion #411: A6; B2; C7; D1; E3; 
[04:18:33.146] Solucion #412: A6; B2; C7; D5; E1; 
[04:18:33.146] Solucion #413: A6; B2; C9; D1; E3; 
[04:18:33.146] Solucion #414: A6; B2; C9; D5; E1; 
[04:18:33.146] Solucion #415: A6; B2; C9; D7; E1; 
[04:18:33.146] Solucion #416: A6; B3; C1; D4; E7; 
[04:18:33.146] Solucion #417: A6; B3; C1; D7; E4; 
[04:18:33.146] Solucion #418: A6; B3; C1; D8; E4; 
[04:18:33.146] Solucion #419: A6; B3; C5; D2; E4; 
[04:18:33.146] Solucion #420: A6; B3; C5; D7; E1; 
[04:18:33.146] Solucion #421: A6; B3; C5; D8; E1; 
[04:18:33.146] Solucion #422: A6; B3; C7; D2; E4; 
[04:18:33.146] Solucion #423: A6; B3; C7; D4; E1; 
